nombreEscuela,seccionEscuela
ESC. DE COMERCIO 26 - ENRIQUE DE VEDIA,5°1°
ESC. DE COMERCIO 29 - MARINA MERCANTE ARG.,5°1°
ESC. DE COMERCIO 36 DE 3,5°1°
COLEGIO 8 - JULIO ROCA,5° 3°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°1°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°1°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°1°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°1°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°1°
COLEGIO 3 - MARIANO MORENO,5°1°
COLEGIO 4 - NICOLAS AVELLANEDA,5°1°
COLEGIO 4 - NICOLAS AVELLANEDA,5°1°
COLEGIO 4 - NICOLAS AVELLANEDA,5°1°
COLEGIO 5 - BARTOLOME MITRE,5°1°
COLEGIO 5 - BARTOLOME MITRE,5°1°
COLEGIO 6 - MANUEL BELGRANO,5°1°
COLEGIO 6 - MANUEL BELGRANO,5°1°
COLEGIO 7 - J. M. PUEYRREDON,5°1°
COLEGIO 7 - J. M. PUEYRREDON,5°1°
COLEGIO 7 - J. M. PUEYRREDON,5°1°
COLEGIO 8 - JULIO ROCA,5°1°
COLEGIO 8 - JULIO ROCA,5°1°
COLEGIO 9 - JUSTO J. URQUIZA,5°1°
COLEGIO 9 - JUSTO J. URQUIZA,5°1°
COLEGIO 9 - JUSTO J. URQUIZA,5°1°
COLEGIO 10 - JOSE DE SAN MARTIN,5°1°
COLEGIO 10 - JOSE DE SAN MARTIN,5°1°
COLEGIO 10 - JOSE DE SAN MARTIN,5°1°
COLEGIO 10 - JOSE DE SAN MARTIN,5°1°
COLEGIO 11 - HIPOLITO YRIGOYEN,5°1°
COLEGIO 12 - RECONQUISTA,5°1°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°1°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°1°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°1°
COLEGIO 14 - JUAN JOSE PASO,5°1°
COLEGIO 15 - REVOLUCION DE MAYO,5°1°
COLEGIO 16 - G. RAWSON,5°1°
COLEGIO 17 - PRIMERA JUNTA,5°1°
COLEGIO 18 - DR. A. LARROQUE,5°1°
COLEGIO 18 - DR. A. LARROQUE,5°1°
COLEGIO 19 - LUIS PASTEUR,5°1°
LICEO 1 - J. FIGUEROA ALCORTA,5°1°
LICEO 1 - J. FIGUEROA ALCORTA,5°1°
LICEO 2 - AMANCIO ALCORTA,5°1°
LICEO 3 - J.M. DE ESTRADA,5°1°
LICEO 3 - J.M. DE ESTRADA,5°1°
LICEO 4 - R.E. SAN MARTIN,5°1°
LICEO 5 - P. GUAGLIANONE,5°1°
LICEO 5 - P. GUAGLIANONE,5°1°
LICEO 7 - D. FAUSTINO SARMIENTO,5°1°
LICEO 7 - D. FAUSTINO SARMIENTO,5°1°
LICEO 8 - E. ECHEVERRIA,5°1°
LICEO 8 - E. ECHEVERRIA,5°1°
LICEO 9 - SANTIAGO DERQUI,5°1°
LICEO 9 - SANTIAGO DERQUI,5°1°
LICEO 10 - RICARDO ROJAS,5°1°
LICEO 10 - RICARDO ROJAS,5°1°
LICEO 11 - CORNELIO SAAVEDRA,5°1°
LICEO 12 - FRAY M.ESQUIU,5°1°
LICEO 12 - FRAY M.ESQUIU,5°1°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°1°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°1°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°1°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°1°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°1°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°1°
ESC. DE COMERCIO 4 - B. FERNANDEZ MORENO,5°1°
ESC. DE COMERCIO 5 - JOSE DE SAN MARTIN,5°1°
ESC. DE COMERCIO 6 - AMERICA,5°1°
ESC. DE COMERCIO 7 - MANUEL BELGRANO,5°1°
ESC. DE COMERCIO 7 - MANUEL BELGRANO,5°1°
ESC. DE COMERCIO 8 - PATRICIAS ARGENTINAS,5°1°
ESC. DE COMERCIO 9 - JOSE INGENIEROS,5°1°
ESC. DE COMERCIO 9 - JOSE INGENIEROS,5°1°
ESC. DE COMERCIO 10 - ISLAS MALVINAS,5°1°
ESC. DE COMERCIO 11 - DR. J. PERALTA,5°1°
ESC. DE COMERCIO 11 - DR. J. PERALTA,5°1°
ESC. DE COMERCIO 12 - JUAN XXIII,5°1°
ESC. DE COMERCIO 12 - JUAN XXIII,5°1°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°1°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°1°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°1°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°1°
ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,5°1°
ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,5°1°
ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,5°1°
ESC. DE COMERCIO 18 - REINO DE SUECIA,5°1°
ESC. DE COMERCIO 18 - REINO DE SUECIA,5°1°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°1°
ESC. DE COMERCIO 20 - DR. J.A. GARCIA,5°1°
ESC. DE COMERCIO 21 - CAP. N. H. BOUCHARD,5°1°
ESC. DE COMERCIO 21 - CAP. N. H. BOUCHARD,5°1°
ESC. DE COMERCIO 22 - G.M. ZUVIRIA,5°1°
ESC. DE COMERCIO 23 - DR. LUIS AGOTE,5°1°
ESC. DE COMERCIO 24 - DR. VELEZ SARSFIELD,5°1°
ESC. DE COMERCIO 24 - DR. VELEZ SARSFIELD,5°1°
ESC. DE COMERCIO 25 - SGO. DE LINIERS,5°1°
ESC. DE COMERCIO 27 - ANTARTIDA ARGENTINA,5°1°
ESC. DE COMERCIO 28 - A. LINCOLN,5°1°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°1°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°1°
ESC. DE COMERCIO 31 - NACIONES UNIDAS,5°1°
ESC. DE COMERCIO 31 - NACIONES UNIDAS,5°1°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°1°
ESC. DE COMERCIO 33 - MAIPU,5°1°
ESC. DE COMERCIO 33 - MAIPU,5°1°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°1°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°1°
ESC. DE COMERCIO 35 - L. MARECHAL,5°1°
EEM 1 - D.E. 7,5°1°
EEM 1 - D.E. 12 - JULIO CORTAZAR,5°1°
EEM 1 - D.E. 13 - MANUEL MUJICA LAINEZ,5°1°
EEM 1 - D.E. 14 - FEDERICO GARCIA LORCA,5°1°
EEM 1 - D.E. 16 - RODOLFO WALSH,5°1°
EEM 1 - D.E. 21,5°1°
EEM 2 - D.E. 13,5°1°
EEM 2 - D.E. 14 - ARGENTINOS JUNIORS,5°1°
EEM 2 - D.E. 16 - AGUSTIN TOSCO,5°1°
EEM 2 - D.E. 17 - RUMANIA,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 - D.E. 20,5°1°
EEM 3 - D.E. 4,5°1°
EEM 3 - D.E. 4,5°1°
EEM 3 - D.E. 7 - OSVALDO PUGLIESE,5°1°
EEM 3 - D.E. 10,5°1°
EEM 3 - D.E. 17 - ANTONIO DEVOTO,5°1°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°1°
EEM 4 - D.E. 19 - HOMERO MANZI,5°1°
EEM 5 - D.E. 10 - HEROES DE MALVINAS,5°1°
EEM 5 - D.E. 19,5°1°
EEM 5 - D.E. 21 - JUAN MANUEL FANGIO,5°1°
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°1°
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°1°
EEM 6 - D.E. 5,5°1°
EEM 6 - D.E. 19,5°1°
EEM 7 - D.E. 4 - ESCUELA DE LA RIBERA,5°1°
EEM 7 - D.E. 9 - MARIA CLAUDIA FALCONE,5°1°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°2°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
