nombreEscuela,seccionEscuela
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°3° TT
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°1° TM
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°1° TT
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°2° TM
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°2° TT
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°3° TM
Colegio Nº 10 DE 08 José De San Martín,5°1° TM
Colegio Nº 10 DE 08 José De San Martín,5°1° TM
Colegio Nº 10 DE 08 José De San Martín,5°1° TT
Colegio Nº 10 DE 08 José De San Martín,5°1° TT
Colegio Nº 10 DE 08 José De San Martín,5°2° TM
Colegio Nº 10 DE 08 José De San Martín,5°2° TT
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°1° TN/V
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°2° TN/V
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°3° TN/V
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°4° TN
Colegio Nº 12 DE 15 Reconquista,5°1° TM
Colegio Nº 12 DE 15 Reconquista,5°2° TM
Colegio Nº 12 DE 15 Reconquista,5°3° TM
Colegio Nº 12 DE 15 Reconquista,5°4° TM
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TM
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TT
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TT
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°2° TM
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°2° TT
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°3° TM
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°4° TM
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°4° TT
Colegio Nº 14 DE 02 Juan José Paso,5°1° TN/V
Colegio Nº 14 DE 02 Juan José Paso,5°2° TN/V
Colegio Nº 14 DE 02 Juan José Paso,5°3° TN/V
Colegio Nº 14 DE 02 Juan José Paso,5°4° TN
Colegio Nº 15 DE 02 Revolución de Mayo,5°1° TN/V
Colegio Nº 15 DE 02 Revolución de Mayo,5°2° TN/V
Colegio Nº 15 DE 02 Revolución de Mayo,5°3° TN/V
Colegio Nº 15 DE 02 Revolución de Mayo,5°4° TN
Colegio Nº 16 DE 15 Guillermo Rawson,PLAN 5810
Colegio Nº 16 DE 15 Guillermo Rawson,5°1° TN/V
Colegio Nº 16 DE 15 Guillermo Rawson,5°2° TN/V
Colegio Nº 17 DE 07 Primera Junta,5°1° TM
Colegio Nº 17 DE 07 Primera Junta,5°2° TM
Colegio Nº 17 DE 07 Primera Junta,5°3° TM
Colegio Nº 17 DE 07 Primera Junta,5°4° TM
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°1° TM
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°1° TT
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°2° TM
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°2° TT
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°3° TM
Colegio Nº 19 DE 17 Luis Pasteur,5°1° TM
Colegio Nº 19 DE 17 Luis Pasteur,5°2° TM
Colegio Nº 19 DE 17 Luis Pasteur,5°3° TM
Colegio Nº 19 DE 17 Luis Pasteur,5°4° TT
Colegio Nº 19 DE 17 Luis Pasteur,5°5° TT
Colegio Nº 19 DE 17 Luis Pasteur,5°6° TT
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TM
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TN/V
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TT
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TM
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TN/V
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TT
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°3° TM
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°4° TM
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°5° TM
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°5° TN/V
Colegio Nº 03 DE 02 Mariano Moreno,5°1° TM
Colegio Nº 03 DE 02 Mariano Moreno,5°2° TM
Colegio Nº 03 DE 02 Mariano Moreno,5°3° TM
